ID,NAME,DESCRIPTION,PRICE
1,Coffee Caramel Biscotti,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,39.5
2,Coffee - 10oz Cup 92961,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,24.16
3,Beef - Salted,sem fusce consequat nulla nisl nunc nisl duis bibendum felis,95.6
4,Red Cod Fillets - 225g,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,83.66
5,Longos - Grilled Veg Sandwiches,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,77.22
6,"Cod - Salted, Boneless",orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,20.36
7,Yokaline,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin,46.44
8,Transfer Sheets,felis donec semper sapien a libero nam dui proin leo odio porttitor id,24.51
9,"Basil - Primerba, Paste",pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,54.0
10,Beef - Tenderloin - Aa,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,14.89
11,"Yogurt - Banana, 175 Gr",morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,3.23
12,"Chocolate - Pistoles, White",odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,74.78
13,Beef - Sushi Flat Iron Steak,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,43.7
14,Sugar - Fine,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,43.29
15,Chips Potato Salt Vinegar 43g,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,80.34
16,Bread - Onion Focaccia,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo,26.89
17,Sauce - Demi Glace,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,35.6
18,Salmon - Fillets,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut,89.74
19,"Artichokes - Knobless, White",molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,73.83
20,Squid - Breaded,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in,73.76
21,"Wine - Red, Antinori Santa",commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,58.35
22,Beer - True North Strong Ale,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,11.0
23,Kippers - Smoked,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,67.01
24,Coffee - Frthy Coffee Crisp,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,18.17
25,"Stock - Beef, Brown",amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,85.48
26,Mustard - Pommery,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,21.13
27,Butter Balls Salted,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,47.31
28,Foil - 4oz Custard Cup,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,65.48
29,Food Colouring - Red,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at,79.4
30,"Sauce - White, Mix",donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut,37.12
31,Sauce - Demi Glace,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,87.16
32,"Pork - Loin, Center Cut",in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,30.29
33,"Mushroom - Oyster, Fresh",nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,35.52
34,Pastry - Cherry Danish - Mini,mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,60.94
35,"Capon - Breast, Wing On",morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,90.2
36,Salt - Kosher,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,90.98
37,Macaroons - Two Bite Choc,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,8.92
38,Saskatoon Berries - Frozen,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,53.9
39,Sprouts - Corn,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,63.79
40,Wine - Chianti Classico Riserva,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,96.24
41,Ecolab - Power Fusion,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,1.05
42,Wine - Champagne Brut Veuve,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,86.33
43,Chips - Potato Jalapeno,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,51.51
44,Trout Rainbow Whole,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,97.68
45,Beef Flat Iron Steak,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet,24.6
46,Cake Sheet Combo Party Pack,nulla nunc purus phasellus in felis donec semper sapien a,45.74
